loss,accuracy,val_loss,val_accuracy,lr
0.7047250866889954,0.5173633694648743,0.6901513934135437,0.535347044467926,0.0010000000474974513
0.6918696165084839,0.5337620377540588,0.6948562860488892,0.5224936008453369,0.0010000000474974513
0.6914496421813965,0.5257234573364258,0.6908142566680908,0.5398457646369934,0.0010000000474974513
0.6887707710266113,0.5430868268013,0.6919139623641968,0.5430591106414795,0.0010000000474974513
0.686374843120575,0.5472669005393982,0.711351752281189,0.5115681290626526,0.0010000000474974513
0.6874192357063293,0.5524115562438965,0.7218745350837708,0.5250642895698547,0.0010000000474974513
0.6839047074317932,0.5557878017425537,0.7418902516365051,0.5231362581253052,0.0010000000474974513
0.6829661130905151,0.5602893829345703,0.6870908737182617,0.535347044467926,0.0010000000474974513
0.6796857118606567,0.5627009868621826,0.6891436576843262,0.551413893699646,0.0010000000474974513
0.6798532009124756,0.5631833076477051,0.7109109163284302,0.5205655694007874,0.0010000000474974513
